"Saccharomyces cerevisiae S288c chromosome I, complete sequence - 1..230208"							
94 proteins							
Location	Strand	Length	PID	Gene	Synonym	Code	COG
1807..2169	-	120	6319249	PAU8	YAL068C	-	-
2480..2707	+	75	33438754	-	YAL067W-A	-	-
7236..9017	-	593	6319250	SEO1	YAL067C	-	-
11566..11952	-	128	6319252	-	YAL065C	-	-
12047..12427	+	126	6319253	-	YAL064W-B	-	-
13364..13744	-	126	7839146	-	YAL064C-A	-	-
21526..21852	+	108	6319254	-	YAL064W	-	-
22397..22687	-	96	33438755	-	YAL063C-A	-	-
24001..27969	-	1322	6319255	FLO9	YAL063C	-	-
31568..32941	+	457	6319256	GDH3	YAL062W	-	-
33449..34702	+	417	6319257	BDH2	YAL061W	-	-
35156..36304	+	382	6319258	BDH1	YAL060W	-	-
36510..37148	+	212	6319259	ECM1	YAL059W	-	-
37465..38973	+	502	6319260	CNE1	YAL058W	-	-
39260..41902	+	880	41629666	GPB2	YAL056W	-	-
42178..42720	+	180	6319263	PEX22	YAL055W	-	-
42882..45023	-	713	6319264	ACS1	YAL054C	-	-
45900..48251	+	783	6319265	FLC2	YAL053W	-	-
48565..51708	+	1047	50593114	OAF1	YAL051W	-	-
51856..52596	-	246	6319267	AIM2	YAL049C	-	-
52802..54790	-	662	6319268	GEM1	YAL048C	-	-
54990..56858	-	622	6319269	SPC72	YAL047C	-	-
57030..57386	-	118	6319270	AIM1	YAL046C	-	-
57519..57851	+	110	12621476	-	YAL044W-A	-	-
57951..58463	-	170	269970294	GCV3	YAL044C	-	-
58696..61053	-	785	6319273	PTA1	YAL043C	-	-
61317..62564	+	415	6319274	ERV46	YAL042W	-	-
62841..65405	+	854	6319276	CDC24	YAL041W	-	-
65779..67521	-	580	6319277	CLN3	YAL040C	-	-
68717..69526	-	269	6319278	CYC3	YAL039C	-	-
71787..73289	+	500	6319279	CDC19	YAL038W	-	-
73427..73519	-	30	33438756	-	YAL037C-A	-	-
74021..74824	+	267	6319280	-	YAL037W	-	-
75044..76153	-	369	6319281	RBG1	YAL036C	-	-
76428..79436	+	1002	6319282	FUN12	YAL035W	-	-
79719..80588	+	289	6319283	MTW1	YAL034W-A	-	-
80711..81952	-	413	37362610	FUN19	YAL034C	-	-
82707..83228	+	173	6319286	POP5	YAL033W	-	-
83336..84475	-	379	6319287	PRP45	YAL032C	-	-
84750..87032	-	760	6319288	GIP4	YAL031C	-	-
87287..87753	+	117	6319289	SNC1	YAL030W	-	-
87856..92271	-	1471	6319290	MYO4	YAL029C	-	-
92901..94487	+	528	6319291	FRT2	YAL028W	-	-
94688..95473	+	261	6319292	SAW1	YAL027W	-	-
95631..99698	-	1355	6319293	DRS2	YAL026C	-	-
100226..101146	-	306	6319294	MAK16	YAL025C	-	-
101566..105873	-	1435	6319295	LTE1	YAL024C	-	-
106273..108552	-	759	27469358	PMT2	YAL023C	-	-
108878..110431	-	517	6319297	FUN26	YAL022C	-	-
110847..113360	-	837	6319298	CCR4	YAL021C	-	-
113615..114616	-	333	6319299	ATS1	YAL020C	-	-
114920..118315	+	1131	6319300	FUN30	YAL019W	-	-
118565..119542	-	325	6319301	-	YAL018C	-	-
120226..124296	+	1356	6319302	PSK1	YAL017W	-	-
124880..126787	+	635	6319303	TPD3	YAL016W	-	-
126904..128103	-	399	6319304	NTG1	YAL015C	-	-
128253..129020	-	255	27469359	SYN8	YAL014C	-	-
129271..130533	+	420	41629667	DEP1	YAL013W	-	-
130802..131986	+	394	6319307	CYS3	YAL012W	-	-
132202..134079	+	625	37362611	SWC3	YAL011W	-	-
134186..135667	-	493	6319309	MDM10	YAL010C	-	-
135856..136635	+	259	6319310	SPO7	YAL009W	-	-
136916..137512	+	198	6319311	FUN14	YAL008W	-	-
137700..138347	-	215	6319312	ERP2	YAL007C	-	-
139505..141433	-	642	144228166	SSA1	YAL005C	-	-
142176..143162	+	206	6319315	EFB1	YAL003W	-	-
143709..147533	+	1274	41629668	VPS8	YAL002W	-	-
147596..151168	-	1160	6319317	TFC3	YAL001C	-	-
152259..153878	+	539	6319318	NUP60	YAR002W	-	-
154067..154726	-	219	6319319	ERP1	YAR002C-A	-	-
155007..156287	+	426	6319320	SWD1	YAR003W	-	-
156756..158621	-	621	6319321	RFA1	YAR007C	-	-
158967..159794	+	275	6319322	SEN34	YAR008W	-	-
160598..164188	-	1196	6319323	-	YAR009C	-	-
164545..165867	-	440	6319324	-	YAR010C	-	-
166743..168866	-	707	41629669	BUD14	YAR014C	-	-
169370..170290	+	306	6319326	ADE1	YAR015W	-	-
170391..171698	-	435	6319327	KIN3	YAR018C	-	-
172209..175133	-	974	6319328	CDC15	YAR019C	-	-
176854..177021	-	55	6319329	PAU7	YAR020C	-	-
179279..179818	-	179	6319330	-	YAR023C	-	-
183764..184471	+	235	6319331	UIP3	YAR027W	-	-
184886..185590	+	234	6319332	-	YAR028W	-	-
186315..186539	+	74	6319333	-	YAR029W	-	-
186830..187726	+	298	6319334	PRM9	YAR031W	-	-
188101..188805	+	234	6319336	MST28	YAR033W	-	-
190187..192250	+	687	6319337	YAT1	YAR035W	-	-
192331..192411	-	26	33438758	-	YAR035C-A	-	-
192613..196179	+	1188	85666110	SWH1	YAR042W	-	-
203394..208007	+	1537	6319341	FLO1	YAR050W	-	-
220189..220488	+	99	6319346	-	YAR064W	-	-
221040..221651	+	203	6319347	-	YAR066W	-	-
222397..222882	+	161	6319348	-	YAR068W	-	-
225451..226854	+	467	6319351	PHO11	YAR071W	-	-
